"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,CRS_EN_Edmonton_SEP12_7PM_JobInterview_8-22-2025,Feed,not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,82.66734886,"7-day click, 1-day view, or 1-day engaged-view",6.5692426,12584,1.48448744,8477,0.01557533,196,,"Website adds to cart",240,0.34444729,240,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,Feed,not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,67.1952231,"7-day click or 1-day view",7.58839335,8855,1.4028834,6312,0.04054207,359,,"Website adds to cart",47,1.4296856,47,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-25,Flyer_EN_Edmonton_SEP12_7PM_Flyer_8-22-2025,Feed,not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_AddToCart-Purchase_8-3-25,63.42139001,"7-day click or 1-day view",3.84278902,16504,1.48004663,11151,0.01920746,317,,"Website adds to cart",526,0.12057298,526,2025-04-01,2025-09-17
CA-Edmonton-Traffic-SEP2025-Target,Targeted,T-Flyer,"Facebook Reels",not_delivering,ad,Targeted,63.23,"7-day click or 1-day view",3.14358158,20114,1.43907849,13977,0.07760764,1561,,"Landing page views",1425,0.04437193,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,Video_EN_Edmonton_SEP12_7PM_Video_EN_NotADoctor_8-3-2025,"Facebook Reels",not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,60.15,"7-day click or 1-day view",4.71616748,12754,1.38389757,9216,0.04037949,515,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,"Facebook Reels",not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,58.2745297,"7-day click or 1-day view",5.91499489,9852,1.35255354,7284,0.0318717,314,,"Website adds to cart",98,0.59463806,98,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_NotADoctor_8-3-2025,Feed,not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,56.73,"7-day click, 1-day view, or 1-day engaged-view",7.05158484,8045,1.58866509,5064,0.02486016,200,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,Flyer_EN_Edmonton_SEP14_7PM_Flyer_8-3-2025,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,55.14,"7-day click or 1-day view",3.78969072,14550,1.5611588,9320,0.02467354,359,,"Website adds to cart",,,,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_BabyReveal_8-3-2025,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-2025,51.18,"7-day click, 1-day view, or 1-day engaged-view",4.4757324,11435,1.48912619,7679,0.00961959,110,,"Website adds to cart",,,,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_BabyReveal_8-3-2025,Feed,not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-2025,49.13,"7-day click, 1-day view, or 1-day engaged-view",5.57725054,8809,1.47529727,5971,0.02383926,210,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,Video_EN_Edmonton_SEP12_7PM_Video_EN_NotADoctor_8-3-2025,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-3-25,48.3,"7-day click or 1-day view",5.14541387,9387,1.56973244,5980,0.05443699,511,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-25,Flyer_EN_Edmonton_SEP12_7PM_Flyer_8-3-2025,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-25,47.87,"7-day click or 1-day view",3.71430788,12888,1.66597725,7736,0.03134699,404,,"Website adds to cart",,,,2025-04-01,2025-09-17
FB_CA_Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Video_EN_Edmonton_SEP12_7PM_PissGuy_7-8-25,Feed,inactive,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,47.69,"7-day click or 1-day view",4.38770816,10869,1.48240589,7332,0.08022817,872,,"Landing page views",777,0.06137709,24,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Video_EN_Edmonton_SEP12_7PM_Video_EN_JobInterview_8-22-2025,"Instagram Reels",not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,44.12785892,"7-day click, 1-day view, or 1-day engaged-view",4.131822,10680,1.25928546,8481,0.02031835,217,,"Website adds to cart",211,0.20913677,211,2025-04-01,2025-09-17
