"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,Feed,In-app,iPad,inactive,10,Daily,0.150042,"7-day click or 1-day view",11.541675,13,1,13,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,Feed,In-app,iPhone,inactive,10,Daily,5.78161,"7-day click or 1-day view",5.3091,1089,1.767857,616,0.03673095,40,26,actions:landing_page_view,0.22236961,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,Explore,In-app,"Android Smartphone",inactive,10,Daily,0.030008,"7-day click or 1-day view",6.001671,5,1,5,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,Explore,In-app,iPhone,inactive,10,Daily,0.140039,"7-day click or 1-day view",5.386115,26,1.083333,24,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Explore home",In-app,iPhone,inactive,10,Daily,0,"7-day click or 1-day view",0,11,2.75,4,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,10,Daily,3.550989,"7-day click or 1-day view",5.978096,594,1.362385,436,0.04882155,29,28,actions:landing_page_view,0.12682103,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,10,Daily,0.030008,"7-day click or 1-day view",7.502089,4,0,0,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Reels",In-app,iPad,inactive,10,Daily,0.200056,"7-day click or 1-day view",6.062294,33,1.03125,32,0.03030303,1,1,actions:landing_page_view,0.20005571,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Reels",In-app,iPhone,inactive,10,Daily,18.465142,"7-day click or 1-day view",6.124425,3015,1.631494,1848,0.04510779,136,115,actions:landing_page_view,0.16056645,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Reels",In-app,Other,inactive,10,Daily,0.010003,"7-day click or 1-day view",10.002785,1,0,0,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram search results",In-app,iPhone,inactive,10,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Stories",Desktop,Desktop,inactive,10,Daily,0.010003,"7-day click or 1-day view",1.428969,7,1,7,0.14285714,1,1,actions:landing_page_view,0.01000279,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,10,Daily,6.081694,"7-day click or 1-day view",6.958459,874,1.933628,452,0.0389016,34,31,actions:landing_page_view,0.19618366,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Stories",In-app,iPad,inactive,10,Daily,0.25007,"7-day click or 1-day view",6.251741,40,1.666667,24,0.025,1,1,actions:landing_page_view,0.25006964,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Stories",In-app,iPhone,inactive,10,Daily,50.864164,"7-day click or 1-day view",6.647172,7652,2.31528,3305,0.05188186,397,394,actions:landing_page_view,0.12909686,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,10,Daily,0.010003,"7-day click or 1-day view",5.001393,2,1,2,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Instagram,"Instagram Stories","Mobile web",iPhone,inactive,10,Daily,0.030008,"7-day click or 1-day view",2.500696,12,3,4,0.25,3,3,actions:landing_page_view,0.01000279,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Messenger,"Messenger Stories",In-app,"Android Smartphone",inactive,10,Daily,0.010003,"7-day click or 1-day view",10.002785,1,0,0,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Uncategorized,Uncategorized,Uncategorized,Other,inactive,10,Daily,0,"7-day click or 1-day view",0,0,0,0,,,3,actions:landing_page_view,0,2025-09-05
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,"Facebook Notifications",In-app,iPhone,inactive,10,Daily,0.01,"7-day click or 1-day view",2,5,1.25,4,0,,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,10,Daily,0,"7-day click or 1-day view",0,1,1,1,0,,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,"Facebook profile feed",In-app,iPhone,inactive,10,Daily,0.01,"7-day click or 1-day view",5,2,0,0,0,,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,10,Daily,0.05,"7-day click or 1-day view",5.555556,9,1.125,8,0.11111111,1,,,,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels",In-app,iPhone,inactive,10,Daily,0.24,"7-day click or 1-day view",3.428571,70,1.129032,62,0.18571429,13,13,actions:landing_page_view,0.01846154,2025-07-20
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,Facebook,"Facebook Stories",In-app,iPhone,inactive,10,Daily,0.01,"7-day click or 1-day view",5,2,1,2,0,,,,,2025-07-20
