"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"14:00:00 - 14:59:59",active,"Using ad set budget",0,30.021254,"7-day click or 1-day view",6.830775,4395,1.150222,3821,0.04778157,210,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"15:00:00 - 15:59:59",inactive,20,Daily,15.063776,"7-day click or 1-day view",5.575047,2702,1.099268,2458,0.06069578,164,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"15:00:00 - 15:59:59",inactive,20,Daily,6.039282,"7-day click or 1-day view",7.121794,848,1.026634,826,0.10495283,89,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,1.012895,"7-day click or 1-day view",1.57038,645,1.007813,640,0,,640,reach,1.58264901,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,3.054989,"7-day click or 1-day view",2.432316,1256,1.003195,1252,0,,1252,reach,2.4400867,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,2.805633,"7-day click or 1-day view",2.185072,1284,1.018239,1261,0.00233645,3,1261,reach,2.22492693,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,2.359398,"7-day click or 1-day view",1.844721,1279,1.015886,1259,0.00156372,2,1259,reach,1.87402535,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"15:00:00 - 15:59:59",active,10,Daily,29.807883,"7-day click or 1-day view",6.964459,4280,1.099692,3892,0.08014019,343,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"15:00:00 - 15:59:59",active,"Using ad set budget",0,29.621238,"7-day click or 1-day view",6.781419,4368,1.11032,3934,0.0485348,212,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"16:00:00 - 16:59:59",inactive,20,Daily,18.664679,"7-day click or 1-day view",5.767824,3236,1.108979,2918,0.05716934,185,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"16:00:00 - 16:59:59",inactive,20,Daily,6.570097,"7-day click or 1-day view",7.057033,931,1.062785,876,0.1160043,108,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,1.303727,"7-day click or 1-day view",1.417094,920,1.036036,888,0,,888,reach,1.46816071,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,3.145136,"7-day click or 1-day view",2.460983,1278,1.025682,1246,0,,1246,reach,2.524186,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,3.136297,"7-day click or 1-day view",2.370595,1323,1,1323,0.00151172,2,1323,reach,2.37059466,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,1.917638,"7-day click or 1-day view",1.933103,992,1.033333,960,0,,960,reach,1.9975399,2025-07-08
