"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,Explore,In-app,iPad,inactive,"Using ad set budget",0,0.010003,"7-day click or 1-day view",10.002922,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,Explore,In-app,iPhone,inactive,"Using ad set budget",0,1.3704,"7-day click or 1-day view",4.965218,276,1.254545,220,0.01449275,4,4,actions:landing_page_view,0.34260007,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Explore home",In-app,iPhone,inactive,"Using ad set budget",0,0.020006,"7-day click or 1-day view",5.001461,4,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,11.233281,"7-day click or 1-day view",7.688762,1461,1.303301,1121,0.02600958,38,32,actions:landing_page_view,0.35104004,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.010003,"7-day click or 1-day view",10.002922,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Reels",In-app,iPad,inactive,"Using ad set budget",0,0.200058,"7-day click or 1-day view",6.251826,32,1.142857,28,0.03125,1,1,actions:landing_page_view,0.20005844,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Reels",In-app,iPhone,inactive,"Using ad set budget",0,54.515924,"7-day click or 1-day view",6.901623,7899,1.393859,5667,0.02164831,171,160,actions:landing_page_view,0.34072452,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Reels",In-app,Other,inactive,"Using ad set budget",0,0.010003,"7-day click or 1-day view",10.002922,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories",Desktop,Desktop,inactive,"Using ad set budget",0,0.150044,"7-day click or 1-day view",150.043826,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,10.20298,"7-day click or 1-day view",9.1261,1118,1.579096,708,0.03220036,36,28,actions:landing_page_view,0.36439215,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.020006,"7-day click or 1-day view",10.002922,2,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories",In-app,iPad,inactive,"Using ad set budget",0,0.100029,"7-day click or 1-day view",8.335768,12,1,12,0,,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories",In-app,iPhone,inactive,"Using ad set budget",0,103.77031,"7-day click or 1-day view",9.748268,10645,1.736258,6131,0.02226397,237,240,actions:landing_page_view,0.43237629,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,"Using ad set budget",0,0.020006,"7-day click or 1-day view",10.002922,2,0,0,0.5,1,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,Instagram,"Instagram Stories","Mobile web",iPhone,inactive,"Using ad set budget",0,0.030009,"7-day click or 1-day view",15.004383,2,0,0,0,,,,,Ongoing
