"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"10:00:00 - 10:59:59",inactive,25,Daily,13.700509,"7-day click or 1-day view",8.308374,1649,1.068697,1543,0.06124924,101,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"10:00:00 - 10:59:59",inactive,25,Daily,0.77,"7-day click or 1-day view",7,110,1.009174,109,0.09090909,10,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"10:00:00 - 10:59:59",inactive,25,Daily,0.9,"7-day click or 1-day view",6.206897,145,1.050725,138,0.11034483,16,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"10:00:00 - 10:59:59",inactive,25,Daily,23.28,"7-day click or 1-day view",10.960452,2124,1.17608,1806,0.03531073,75,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"10:00:00 - 10:59:59",inactive,25,Daily,21.69,"7-day click, 1-day view, or 1-day engaged-view",8.760097,2476,1.118843,2213,0.00969305,24,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"10:00:00 - 10:59:59",inactive,42,Daily,18.443052,"7-day click, 1-day view, or 1-day engaged-view",16.452321,1121,1.190021,942,0.00624442,7,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"10:00:00 - 10:59:59",inactive,43,Daily,18.475762,"7-day click or 1-day view",14.52497,1272,1.331937,955,0.01257862,16,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"11:00:00 - 11:59:59",inactive,25,Daily,15.77,"7-day click or 1-day view",6.473727,2436,1.070299,2276,0.0681445,166,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"11:00:00 - 11:59:59",inactive,25,Daily,14.910554,"7-day click or 1-day view",8.765758,1701,1.035301,1643,0.05526161,94,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"11:00:00 - 11:59:59",inactive,25,Daily,0.78,"7-day click or 1-day view",7.090909,110,1.009174,109,0.08181818,9,,,,Ongoing
