"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"23:00:00 - 23:59:59",Asian,"Flyer - Copy",120231404065100429,120231404065090429,120231404065200429,not_delivering,ad,Asian,"7-day click or 1-day view","Meta Leads",3,504,538,3.41666667,-,-,-,10.25,1.06746032,8,1.28125,0.01486989,14,19.05204461,1.48698885,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","08:00:00 - 08:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,1772,2061,,-,-,-,9.95330633,1.16309255,24,0.4147211,0.01164483,29,4.82935776,1.16448326,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","07:00:00 - 07:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,1646,1897,,-,-,-,9.42313022,1.15249089,20,0.47115651,0.01054296,22,4.96738546,1.05429626,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"21:00:00 - 21:59:59",Asian,"Flyer - Copy",120231404065100429,120231404065090429,120231404065200429,not_delivering,ad,Asian,"7-day click or 1-day view","Meta Leads",1,440,464,8.01,-,-,-,8.01,1.05454545,10,0.801,0.02155172,16,17.26293103,2.15517241,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"23:00:00 - 23:59:59",White-Language,Flyer,120231404065100429,120231404065250429,120231404065150429,not_delivering,ad,White-Language,"7-day click or 1-day view","Meta Leads",2,403,422,3.995,-,-,-,7.99,1.0471464,11,0.72636364,0.02606635,13,18.93364929,2.60663507,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","09:00:00 - 09:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,1442,1606,,-,-,-,7.97264839,1.11373093,27,0.29528327,0.01681196,34,4.96428916,1.68119552,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"22:00:00 - 22:59:59",White-Language,Flyer,120231404065100429,120231404065250429,120231404065150429,not_delivering,ad,White-Language,"7-day click or 1-day view","Meta Leads",2,455,466,3.845,-,-,-,7.69,1.02417582,9,0.85444444,0.0193133,15,16.50214592,1.93133047,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","01:00:00 - 01:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,1159,1396,,-,-,-,7.09235597,1.20448663,15,0.47282373,0.01074499,16,5.08048422,1.07449857,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"20:00:00 - 20:59:59",Asian,"Flyer - Copy",120231404065100429,120231404065090429,120231404065200429,not_delivering,ad,Asian,"7-day click or 1-day view","Meta Leads",3,389,396,2.27333333,-,-,-,6.82,1.01799486,21,0.3247619,0.0530303,27,17.22222222,5.3030303,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"21:00:00 - 21:59:59",White-Language,Flyer,120231404065100429,120231404065250429,120231404065150429,not_delivering,ad,White-Language,"7-day click or 1-day view","Meta Leads",5,352,377,1.182,-,-,-,5.91,1.07102273,7,0.84428571,0.01856764,13,15.67639257,1.85676393,,,,2025-05-01,2025-09-20
IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"23:00:00 - 23:59:59",LA_SunRose_25-38_European,LA_SunRose_25-38_CRS_European,120232400438910429,120232629618080429,120232629618070429,not_delivering,ad,LA_SunRose_25-38_European,"7-day click or 1-day view","Meta Leads",2,195,201,2.885,-,-,-,5.77,1.03076923,10,0.577,0.04975124,15,28.70646766,4.97512438,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","06:00:00 - 06:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,1036,1215,,-,-,-,5.7118974,1.17277992,14,0.40799267,0.01152263,21,4.70115013,1.15226337,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"23:00:00 - 23:59:59","African American","Flyer - Copy",120231404065100429,120231404065270429,120231404065190429,not_delivering,ad,"African American","7-day click or 1-day view","Meta Leads",,298,321,,-,-,-,5.36,1.07718121,5,1.072,0.01557632,4,16.69781931,1.5576324,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","13:00:00 - 13:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,1024,1135,,-,-,-,5.35177778,1.10839844,17,0.31481046,0.01497797,20,4.71522271,1.49779736,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"22:00:00 - 22:59:59",Hispanics-Demographic,"Flyer - Copy",120231404065100429,120231404065260429,120231404065170429,not_delivering,ad,Hispanics-Demographic,"7-day click or 1-day view","Meta Leads",2,317,348,2.64,-,-,-,5.28,1.0977918,12,0.44,0.03448276,17,15.17241379,3.44827586,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"22:00:00 - 22:59:59","African American","Flyer - Copy",120231404065100429,120231404065270429,120231404065190429,not_delivering,ad,"African American","7-day click or 1-day view","Meta Leads",4,349,369,1.3075,-,-,-,5.23,1.05730659,10,0.523,0.02710027,16,14.17344173,2.7100271,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"16:00:00 - 16:59:59",Asian,"Flyer - Copy",120231404065100429,120231404065090429,120231404065200429,not_delivering,ad,Asian,"7-day click or 1-day view","Meta Leads",4,278,286,1.29,-,-,-,5.16,1.02877698,12,0.43,0.04195804,16,18.04195804,4.1958042,,,,2025-05-01,2025-09-20
FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"18:00:00 - 18:59:59",White-Language,Flyer,120231403034620429,120231403034780429,120231403611530429,not_delivering,ad,White-Language,"7-day click or 1-day view","Meta Leads",3,361,386,1.67,-,-,-,5.01,1.06925208,6,0.835,0.01554404,20,12.97927461,1.55440415,,,,2025-05-01,2025-09-20
