"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,20,Daily,0.010015,"7-day click or 1-day view",10.015393,1,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,In-app,"Android Smartphone",inactive,20,Daily,12.318933,"7-day click or 1-day view",6.015104,2048,1.356291,1510,0.13818359,283,224,actions:landing_page_view,0.05499524,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,In-app,"Android Tablet",inactive,20,Daily,0.100154,"7-day click or 1-day view",8.34616,12,1,12,0.16666667,2,1,actions:landing_page_view,0.10015393,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,In-app,iPad,inactive,20,Daily,4.506927,"7-day click or 1-day view",7.976861,565,1.342043,421,0.12389381,70,66,actions:landing_page_view,0.06828677,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,In-app,iPhone,inactive,20,Daily,98.561478,"7-day click or 1-day view",6.96154,14158,1.395702,10144,0.10375759,1469,1358,actions:landing_page_view,0.07257841,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,In-app,Other,inactive,20,Daily,0.060092,"7-day click or 1-day view",8.584622,7,1,7,0.28571429,2,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,0.010015,"7-day click or 1-day view",3.338464,3,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Feed,"Mobile web",iPhone,inactive,20,Daily,0.010015,"7-day click or 1-day view",5.007696,2,0,0,0.5,1,1,actions:landing_page_view,0.01001539,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,20,Daily,0,"7-day click or 1-day view",0,3,1,3,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,"In-stream reels",In-app,iPhone,inactive,20,Daily,0,"7-day click or 1-day view",0,18,1,18,0.05555556,1,1,actions:landing_page_view,0,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Marketplace,In-app,"Android Smartphone",inactive,20,Daily,0,"7-day click or 1-day view",0,2,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,Marketplace,In-app,iPhone,inactive,20,Daily,0.010015,"7-day click or 1-day view",5.007696,2,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,"Search results",In-app,iPhone,inactive,20,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,"Feed: video feeds",In-app,"Android Smartphone",inactive,20,Daily,0.020031,"7-day click or 1-day view",10.015393,2,1,2,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Facebook,"Feed: video feeds",In-app,iPad,inactive,20,Daily,0.020031,"7-day click or 1-day view",6.676928,3,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,Feed,In-app,"Android Smartphone",inactive,20,Daily,0.410631,"7-day click or 1-day view",5.625083,73,1.403846,52,0.10958904,8,7,actions:landing_page_view,0.05866158,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,Feed,In-app,iPhone,inactive,20,Daily,0.460708,"7-day click or 1-day view",4.799042,96,1.2,80,0.09375,9,6,actions:landing_page_view,0.07678468,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,Explore,In-app,"Android Smartphone",inactive,20,Daily,0.020031,"7-day click or 1-day view",6.676928,3,1,3,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,Explore,In-app,iPhone,inactive,20,Daily,0.010015,"7-day click or 1-day view",5.007696,2,1,2,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,20,Daily,0.010015,"7-day click or 1-day view",5.007696,2,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,"Instagram Reels",In-app,iPhone,inactive,20,Daily,0.030046,"7-day click or 1-day view",3.755772,8,1,8,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,"Instagram Stories",Desktop,Desktop,inactive,20,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,20,Daily,0.010015,"7-day click or 1-day view",5.007696,2,0,0,0.5,1,1,actions:landing_page_view,0.01001539,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,Instagram,"Instagram Stories",In-app,iPhone,inactive,20,Daily,0.060092,"7-day click or 1-day view",5.007696,12,1.5,8,0.08333333,1,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.070201,"7-day click or 1-day view",1.253583,56,1,56,0,,56,reach,1.25358337,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,Facebook,"Facebook profile feed",In-app,iPad,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,2,0,0,0,,,,,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,Facebook,"Facebook profile feed",In-app,iPhone,inactive,"Using ad set budget",0,0.30086,"7-day click or 1-day view",1.511859,199,1.24375,160,0,,160,reach,1.88037506,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,0.541548,"7-day click or 1-day view",2.880575,188,1,188,0,,188,reach,2.88057456,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.010029,"7-day click or 1-day view",10.028667,1,0,0,0,,,,,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,Facebook,"Facebook Reels",In-app,iPad,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-08
