"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,439,508,,6.074492,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,838,932,2.9925,11.97,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3,actions:onsite_conversion.lead_grouped,454,486,2.83384038,8.501521,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","06:00:00 - 06:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1036,1215,,5.711897,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,830,975,,12.079047,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"07:00:00 - 07:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,1085,1205,4.12,16.48,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"07:00:00 - 07:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,672,757,3.22057625,12.882305,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","07:00:00 - 07:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1646,1897,,9.42313,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"07:00:00 - 07:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1366,1583,,19.702134,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"08:00:00 - 08:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",6,actions:onsite_conversion.lead_grouped,1143,1291,2.75833333,16.55,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"08:00:00 - 08:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",6,actions:onsite_conversion.lead_grouped,855,966,2.61713494,15.70281,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","08:00:00 - 08:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1772,2061,,9.953306,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"08:00:00 - 08:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1757,2137,,25.556825,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"09:00:00 - 09:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",9,actions:onsite_conversion.lead_grouped,1169,1300,1.65666667,14.91,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"09:00:00 - 09:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3,actions:onsite_conversion.lead_grouped,985,1089,6.09442379,18.283271,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","09:00:00 - 09:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1442,1606,,7.972648,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"09:00:00 - 09:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1784,2218,,25.846563,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"10:00:00 - 10:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",10,actions:onsite_conversion.lead_grouped,1063,1213,1.491,14.91,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"10:00:00 - 10:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",13,actions:onsite_conversion.lead_grouped,939,1079,1.33408486,17.343103,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","10:00:00 - 10:59:59",inactive,50,Daily,"7-day click or 1-day view",,,932,1011,,4.641542,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"10:00:00 - 10:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2000,2339,,27.325222,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"11:00:00 - 11:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",8,actions:onsite_conversion.lead_grouped,1180,1315,2.01375,16.11,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"11:00:00 - 11:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",6,actions:onsite_conversion.lead_grouped,950,1083,3.02387439,18.143246,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","11:00:00 - 11:59:59",inactive,50,Daily,"7-day click or 1-day view",,,646,707,,3.10103,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"11:00:00 - 11:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2203,2635,,30.152658,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"12:00:00 - 12:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2,actions:onsite_conversion.lead_grouped,1102,1210,7.08,14.16,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"12:00:00 - 12:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,1008,1179,4.44829592,17.793184,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","12:00:00 - 12:59:59",inactive,50,Daily,"7-day click or 1-day view",,,596,621,,2.700897,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"12:00:00 - 12:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2192,2592,,29.023682,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"13:00:00 - 13:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",10,actions:onsite_conversion.lead_grouped,1038,1112,1.382,13.82,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"13:00:00 - 13:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",6,actions:onsite_conversion.lead_grouped,869,966,2.48044382,14.882663,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","13:00:00 - 13:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1024,1135,,5.351778,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"13:00:00 - 13:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2242,2691,,30.012785,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"14:00:00 - 14:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:onsite_conversion.lead_grouped,1168,1313,3.204,16.02,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"14:00:00 - 14:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",7,actions:onsite_conversion.lead_grouped,992,1102,2.49330326,17.453123,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","14:00:00 - 14:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1782,2128,,10.943635,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"14:00:00 - 14:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2200,2642,,28.983718,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",9,actions:onsite_conversion.lead_grouped,1307,1426,1.97,17.73,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",12,actions:onsite_conversion.lead_grouped,1054,1217,1.65112876,19.813545,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","15:00:00 - 15:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2030,2487,,12.204054,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2227,2832,,30.572277,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:onsite_conversion.lead_grouped,950,1067,2.992,14.96,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",12,actions:onsite_conversion.lead_grouped,1155,1361,1.84783063,22.173968,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","16:00:00 - 16:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2187,2532,,11.863941,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,2200,2561,,26.935575,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2,actions:onsite_conversion.lead_grouped,906,1019,6.74,13.48,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",7,actions:onsite_conversion.lead_grouped,1299,1441,3.25343927,22.774075,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","17:00:00 - 17:59:59",inactive,50,Daily,"7-day click or 1-day view",,,2235,2768,,12.40412,2025-09-03
