"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","15:00:00 - 15:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,10924,11646,,-,-,-,46.83423054,1.06609301,254,0.18438673,0.02181006,284,4.02148639,2.18100635,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","12:00:00 - 12:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,11769,12049,,-,-,-,43.37391797,1.02379132,214,0.20268186,0.01776081,243,3.59979401,1.776081,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","20:00:00 - 20:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,10209,11299,,-,-,-,42.78386467,1.10676854,205,0.20870178,0.0181432,235,3.7865178,1.81431985,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","16:00:00 - 16:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,10120,10409,,-,-,-,41.26372736,1.02855731,206,0.20030936,0.01979057,236,3.9642355,1.97905659,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"23:00:00 - 23:59:59",MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Video_EN_Toronto_OCT5_7PM_Promo_7-18-25,120229365441750429,120229369014240429,120229369014250429,not_delivering,ad,MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6747,7672,,-,-,-,38.73,1.13709797,218,0.17766055,0.02841502,305,5.04822732,2.84150156,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","07:00:00 - 07:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,10043,10640,,-,-,-,38.7234979,1.05944439,213,0.18180046,0.0200188,241,3.63942649,2.0018797,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","17:00:00 - 17:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,9662,10112,,-,-,-,38.16344731,1.04657421,204,0.18707572,0.02017405,231,3.77407509,2.01740506,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"21:00:00 - 21:59:59",IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231457080950429,120231457081080429,120231457081000429,active,ad,IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,9441,10226,,-,-,-,37.32583293,1.08314797,543,0.06874002,0.05309994,612,3.65009123,5.30999413,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","19:00:00 - 19:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,9578,9763,,-,-,-,36.28327747,1.0193151,201,0.18051382,0.02058793,228,3.71640658,2.0587934,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"22:00:00 - 22:59:59",MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,Video_EN_Toronto_OCT5_7PM_Promo_7-18-25,120229365441750429,120229369014240429,120229369014250429,not_delivering,ad,MW_21-45_EN_Feed_OCT5_Toronto_7PM_VideoPageViews_7-18-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,6989,7426,,-,-,-,36.15,1.06252683,197,0.18350254,0.02652841,286,4.86803124,2.65284137,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","22:00:00 - 22:59:59",FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648950429,120231844648910429,active,ad,FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,8860,9786,,-,-,-,35.70657162,1.10451467,433,0.08246321,0.04424688,894,3.6487402,4.42468833,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"23:00:00 - 23:59:59",IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231457080950429,120231457081080429,120231457081000429,active,ad,IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,8035,8963,,-,-,-,35.55603051,1.11549471,407,0.08736125,0.0454089,475,3.96697875,4.54089033,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","08:00:00 - 08:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,9893,10251,,-,-,-,35.55321153,1.0361872,202,0.176006,0.01970539,225,3.46826764,1.97053946,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","18:00:00 - 18:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,9189,9304,,-,-,-,34.5831239,1.01251496,183,0.18897882,0.01966896,201,3.71701676,1.96689596,,,,2025-05-01,2025-09-20
