"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Feed,In-app,"Android Tablet",inactive,20,Daily,0.190019,"7-day click or 1-day view",5.135642,37,1,37,0.13513514,5,5,actions:landing_page_view,0.03800375,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Feed,In-app,iPad,inactive,20,Daily,7.260717,"7-day click or 1-day view",4.783081,1518,1.204762,1260,0.09947299,151,144,actions:landing_page_view,0.05042164,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Feed,In-app,iPhone,inactive,20,Daily,79.617857,"7-day click or 1-day view",4.28583,18577,1.402567,13245,0.09447166,1755,1684,actions:landing_page_view,0.04727901,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Feed,In-app,iPod,inactive,20,Daily,0,"7-day click or 1-day view",0,2,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Feed,In-app,Other,inactive,20,Daily,0.020002,"7-day click or 1-day view",4.000395,5,1.25,4,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,Marketplace,In-app,iPhone,inactive,20,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Facebook,"Search results",In-app,iPhone,inactive,20,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Instagram,Feed,In-app,"Android Smartphone",inactive,20,Daily,0.060006,"7-day click or 1-day view",6.000592,10,1.25,8,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Instagram,Feed,In-app,iPhone,inactive,20,Daily,0.070007,"7-day click or 1-day view",3.043779,23,1,23,0.08695652,2,1,actions:landing_page_view,0.07000691,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,20,Daily,0.010001,"7-day click or 1-day view",3.333662,3,1,3,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Instagram,"Instagram Reels",In-app,iPhone,inactive,20,Daily,0.030003,"7-day click or 1-day view",1.76488,17,2.125,8,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,20,Daily,0.010001,"7-day click or 1-day view",2.500247,4,1,4,0.5,2,1,actions:landing_page_view,0.01000099,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Instagram,"Instagram Stories",In-app,iPhone,inactive,20,Daily,0.030003,"7-day click or 1-day view",1.15396,26,1,26,0.07692308,2,2,actions:landing_page_view,0.01500148,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,Uncategorized,Uncategorized,Uncategorized,Other,inactive,20,Daily,0,"7-day click or 1-day view",0,0,0,0,,,1,actions:landing_page_view,0,2025-09-12
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,Desktop,Desktop,inactive,"Using ad set budget",0,0.040079,"7-day click or 1-day view",0.817936,49,1,49,0,,49,reach,0.81793631,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,1.843628,"7-day click or 1-day view",1.529982,1205,1,1205,0.00165975,2,1205,reach,1.52998211,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,"Android Tablet",inactive,"Using ad set budget",0,0.01002,"7-day click or 1-day view",2.003944,5,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPad,inactive,"Using ad set budget",0,0.050099,"7-day click or 1-day view",1.473488,34,2.125,16,0,,16,reach,3.13116243,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPhone,inactive,"Using ad set budget",0,8.196131,"7-day click or 1-day view",1.463595,5600,1.006832,5562,0.00142857,8,5562,reach,1.47359417,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web","Android Smartphone",inactive,"Using ad set budget",0,0.150296,"7-day click or 1-day view",1.565581,96,2,48,0,,48,reach,3.13116243,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",iPad,inactive,"Using ad set budget",0,0.01002,"7-day click or 1-day view",5.00986,2,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",iPhone,inactive,"Using ad set budget",0,0.150296,"7-day click or 1-day view",1.30692,115,1.197917,96,0,,96,reach,1.56558121,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,"Android Smartphone",inactive,"Using ad set budget",0,1.733412,"7-day click or 1-day view",1.374632,1261,1.077778,1170,0,,1170,reach,1.48154831,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,"Android Tablet",inactive,"Using ad set budget",0,0.01002,"7-day click or 1-day view",2.50493,4,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPad,inactive,"Using ad set budget",0,0.040079,"7-day click or 1-day view",1.38203,29,1,29,0,,29,reach,1.38203031,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPhone,inactive,"Using ad set budget",0,13.025636,"7-day click or 1-day view",1.491542,8733,1.076686,8111,0.00022902,2,8111,reach,1.60592229,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,"Android Smartphone",inactive,"Using ad set budget",0,4.408677,"7-day click or 1-day view",1.396477,3157,1.025666,3078,0,,3078,reach,1.43231862,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.020039,"7-day click or 1-day view",2.003944,10,1,10,0,,10,reach,2.00394395,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,iPad,inactive,"Using ad set budget",0,0.080158,"7-day click or 1-day view",2.055327,39,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,iPhone,inactive,"Using ad set budget",0,8.286308,"7-day click or 1-day view",1.403983,5902,1.020048,5786,0,,5786,reach,1.4321307,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,9.318339,"7-day click or 1-day view",1.411228,6603,1.141203,5786,0.00151446,10,5786,reach,1.61049765,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.030059,"7-day click or 1-day view",0.96965,31,1,31,0,,31,reach,0.9696503,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,iPad,inactive,"Using ad set budget",0,0.250493,"7-day click or 1-day view",1.802108,139,1,139,0,,139,reach,1.80210787,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,iPhone,inactive,"Using ad set budget",0,35.700262,"7-day click or 1-day view",1.466491,24344,1.120862,21719,0.00230036,56,21719,reach,1.64373413,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Reels",In-app,Other,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,7,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",Desktop,Desktop,inactive,"Using ad set budget",0,0.100197,"7-day click or 1-day view",0.954259,105,1.640625,64,0,,64,reach,1.56558121,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,1.272504,"7-day click or 1-day view",1.857671,685,1.37827,497,0.00583942,4,497,reach,2.56037105,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.01002,"7-day click or 1-day view",3.339907,3,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,iPad,inactive,"Using ad set budget",0,0.030059,"7-day click or 1-day view",0.884093,34,1.0625,32,0,,32,reach,0.93934873,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories",In-app,iPhone,inactive,"Using ad set budget",0,11.693013,"7-day click or 1-day view",1.464556,7984,1.066667,7485,0.00112725,9,7485,reach,1.56219278,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories","Mobile web","Android Smartphone",inactive,"Using ad set budget",0,0.050099,"7-day click or 1-day view",2.003944,25,1,25,0,,25,reach,2.00394395,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories","Mobile web",iPad,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,Instagram,"Instagram Stories","Mobile web",iPhone,inactive,"Using ad set budget",0,0.030059,"7-day click or 1-day view",1.366325,22,1,22,0,,22,reach,1.36632542,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,Desktop,Desktop,inactive,"Using ad set budget",0,0.220389,"7-day click or 1-day view",1.412751,156,1,156,0,,156,reach,1.41275114,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,2.033591,"7-day click or 1-day view",1.262316,1611,1,1611,0.00310366,5,1611,reach,1.26231598,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,"Android Tablet",inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,4,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPad,inactive,"Using ad set budget",0,0.020035,"7-day click or 1-day view",1.335692,15,1,15,0,,15,reach,1.33569199,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPhone,inactive,"Using ad set budget",0,10.558645,"7-day click or 1-day view",1.402956,7526,1.115293,6748,0.00225884,17,6748,reach,1.56470734,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,In-app,iPod,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web","Android Smartphone",inactive,"Using ad set budget",0,0.180318,"7-day click or 1-day view",1.086256,166,1,166,0,,166,reach,1.08625553,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",iPad,inactive,"Using ad set budget",0,0.010018,"7-day click or 1-day view",10.01769,1,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",iPhone,inactive,"Using ad set budget",0,0.210371,"7-day click or 1-day view",1.107218,190,1,190,0,,190,reach,1.10721836,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Feed,"Mobile web",Other,inactive,"Using ad set budget",0,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,"Android Smartphone",inactive,"Using ad set budget",0,2.434299,"7-day click or 1-day view",1.337527,1820,1,1820,0.0010989,2,1820,reach,1.33752673,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,"Android Tablet",inactive,"Using ad set budget",0,0.020035,"7-day click or 1-day view",2.003538,10,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPad,inactive,"Using ad set budget",0,0.020035,"7-day click or 1-day view",0.715549,28,0,0,0,,,,,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,Explore,In-app,iPhone,inactive,"Using ad set budget",0,11.740733,"7-day click or 1-day view",1.413865,8304,1.00012,8303,0.00084297,7,8303,reach,1.414035,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,"Android Smartphone",inactive,"Using ad set budget",0,5.449623,"7-day click or 1-day view",1.340951,4064,1,4064,0,,4064,reach,1.34095062,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,"Android Tablet",inactive,"Using ad set budget",0,0.060106,"7-day click or 1-day view",2.404246,25,1.5625,16,0,,16,reach,3.75663371,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,iPad,inactive,"Using ad set budget",0,0.030053,"7-day click or 1-day view",0.79087,38,2.375,16,0,,16,reach,1.87831686,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,Instagram,"Explore home",In-app,iPhone,inactive,"Using ad set budget",0,6.992348,"7-day click or 1-day view",1.304056,5362,1,5362,0,,5362,reach,1.30405587,2025-07-05
