"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2379,reach,2379,2397,1.20791471,2.873629,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2807,reach,2807,2821,1.81926448,5.106675,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1917,1964,,5.39,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,951,954,,3.08,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"01:00:00 - 01:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,6587,7259,,32.100716,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"01:00:00 - 01:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,7239,8002,,44.13,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"01:00:00 - 01:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,1351,1515,,7.361011,Ongoing
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"01:00:00 - 01:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,6819,7660,,34.649436,Ongoing
2025-05-01,2025-09-20,"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","01:00:00 - 01:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,3787,4300,,20.183886,Ongoing
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy","02:00:00 - 02:59:59",inactive,10,Daily,"7-day click or 1-day view",,,639,658,,2.091939,2025-06-10
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,"02:00:00 - 02:59:59",inactive,20,Daily,"7-day click or 1-day view",,,906,930,,2.820629,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"02:00:00 - 02:59:59",inactive,20,Daily,"7-day click or 1-day view",,,937,987,,3.971052,2025-10-04
