"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,IG_US_Seattle_SEP7_6PM_C25_M/W_LPView_EN_Feed_7-8-25,Instagram,"Instagram Stories","Mobile web",iPhone,inactive,25,Daily,0,"7-day click or 1-day view",0,1,1,1,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,25,Daily,0.01,"7-day click or 1-day view",2.5,4,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook Notifications",In-app,iPhone,inactive,25,Daily,0.01,"7-day click or 1-day view",2,5,1,5,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,25,Daily,0.02,"7-day click or 1-day view",1.818182,11,1.375,8,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook profile feed",In-app,iPad,inactive,25,Daily,0.02,"7-day click or 1-day view",20,1,0,0,0,,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook profile feed",In-app,iPhone,inactive,25,Daily,0.17,"7-day click or 1-day view",3.863636,44,1.1,40,0.04545455,2,3,actions:landing_page_view,0.05666667,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,25,Daily,0.75,"7-day click or 1-day view",5.769231,130,1.354167,96,0.11538462,15,12,actions:landing_page_view,0.0625,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook Reels",In-app,iPhone,inactive,25,Daily,3.2,"7-day click or 1-day view",5.007825,639,1.210227,528,0.07824726,50,46,actions:landing_page_view,0.06956522,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,25,Daily,0.03,"7-day click or 1-day view",15,2,1,2,0.5,1,1,actions:landing_page_view,0.03,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,Facebook,"Facebook Stories",In-app,iPhone,inactive,25,Daily,0.11,"7-day click or 1-day view",5.789474,19,4.75,4,0,,,,,2025-07-18
