"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,IG_WM_24-45_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,Flyer_EN_OCT28_Columbus_7PM_MaxName_9-2-2025,Feed,not_delivering,ad,IG_WM_24-45_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,62.80188452,"7-day click or 1-day view",6.85310831,9164,1.38680387,6608,0.02051506,188,,"Landing page views",172,0.36512724,204,2025-04-01,2025-09-17
IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,IG_WM_24-45_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,Flyer_EN_OCT28_Columbus_7PM_MaxName_9-2-2025,"Instagram Stories",not_delivering,ad,IG_WM_24-45_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,60.03047748,"7-day click or 1-day view",7.90602891,7593,1.38255645,5492,0.02304754,175,,"Landing page views",180,0.33350265,172,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_MediaLover_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_MediaLover_8-2-2025,56.97732733,"7-day click or 1-day view",8.98270965,6343,1.29369774,4903,0.02238688,142,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,IG_WM_24-45_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,Flyer_EN_OCT28_Columbus_7PM_MaxName_9-2-2025,"Instagram Reels",not_delivering,ad,IG_WM_24-45_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,53.66724687,"7-day click or 1-day view",6.66425517,8053,1.31327462,6132,0.02123432,171,,"Landing page views",159,0.33752985,173,2025-04-01,2025-09-17
FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,FB_WM_30-50_EN_Feed_OCT28_Columbus_7PM_Comedy_9-3-2025,CRS_EN_Columbus_OCT28_7PM_JobInterview_9-2-2025,Feed,not_delivering,ad,FB_WM_30-50_EN_Feed_OCT28_Columbus_7PM_Comedy_9-3-2025,50.23997617,"7-day click or 1-day view",6.1208548,8208,1.14,7200,0.09953704,817,,"Landing page views",744,0.06752685,,2025-04-01,2025-09-17
FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,Video_EN_OCT28_Columbus_7PM_NotADoctor_8-2-2025,Feed,inactive,ad,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,48.65,"7-day click or 1-day view",10.53486358,4618,1.27745505,3615,0.10004331,462,,"Landing page views",,,,2025-04-01,2025-09-17
FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,WM_30-50_EN_Feed_OCT28_Columbus_7PM_MediaLover_8/2/2025,CRS_EN_Columbus_OCT28_7PM_PissGuy_8-2-2025,Feed,not_delivering,ad,WM_30-50_EN_Feed_OCT28_Columbus_7PM_MediaLover_8/2/2025,41.80996424,"7-day click or 1-day view",11.43598584,3656,1.12769895,3242,0.08780088,321,,"Landing page views",,,,2025-04-01,2025-09-17
US-Columbus-SignUp-EN-OCT2025-Target,Targeted,T-Flyer,"Instagram Reels",not_delivering,ad,Targeted,39.90003522,"7-day click or 1-day view",5.70163407,6998,1.86067535,3761,0.03858245,270,,"Landing page views",227,0.17577108,23,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_08-02-2025,Video_EN_OCT28_Columbus_7PM_NotADoctor_8-2-2025,Feed,inactive,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_08-02-2025,39.69,"7-day click or 1-day view",13.19481383,3008,1.22926032,2447,0.07214096,217,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,Video_EN_OCT28_Columbus_7PM_NotADoctor_8-2-2025,Feed,not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,36.87,"7-day click or 1-day view",13.04670913,2826,1.24658139,2267,0.06617127,187,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,IG_WM_24-45_EN_Feed_OCT28_Columbus_LAL_7PM_FBIGEngagement_9-8-2025,Flyer_EN_OCT28_Columbus_LAL_7PM_MaxName_9-8-2025,Feed,not_delivering,ad,IG_WM_24-45_EN_Feed_OCT28_Columbus_LAL_7PM_FBIGEngagement_9-8-2025,35.05,"7-day click or 1-day view",102.78592375,341,4.05952381,84,0.02052786,7,,"Landing page views",6,5.84166667,12,2025-04-01,2025-09-17
FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,WM_30-50_EN_Feed_OCT28_Columbus_7PM_MediaLover_8/2/2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,Feed,not_delivering,ad,WM_30-50_EN_Feed_OCT28_Columbus_7PM_MediaLover_8/2/2025,32.23791309,"7-day click or 1-day view",11.06691146,2913,1.20871369,2410,0.06453828,188,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_MediaLover_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,"Instagram Stories",not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_MediaLover_8-2-2025,29.53379807,"7-day click or 1-day view",15.92977242,1854,1.22619048,1512,0.03937433,73,,"Landing page views",1,29.53379807,,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_08-02-2025,Flyer_EN_OCT28_Columbus_7PM_MaxName_8-2-2025,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_08-02-2025,28.32,"7-day click or 1-day view",7.64166217,3706,1.37361008,2698,0.02428494,90,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_08-02-2025,Flyer_EN_OCT28_Columbus_7PM_MaxName_8-2-2025,"Instagram Stories",not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_08-02-2025,27.3,"7-day click or 1-day view",9.19501516,2969,1.31255526,2262,0.01785113,53,,"Landing page views",,,,2025-04-01,2025-09-17
